# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
tee	def	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee	8	def	VALID	0	2	0	1	228	678	452	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	10	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	12	def	VALID	0	2	0	1	260	774	516	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	19	def	VALID	0	2	0	1	676	2022	1348	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee	24	def	VALID	0	2	0	1	640	1914	1276	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	26	def	VALID	0	2	0	1	784	2346	1564	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	32	def	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee	48	def	VALID	0	2	0	1	1950	5844	3896	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	64	def	VALID	0	2	0	1	3366	10092	6728	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	def	0.2	VALID	0	2	0	1	576	1722	1148	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	def	0.3	VALID	0	2	0	1	392	1170	780	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	def	0.5	VALID	0	2	0	1	220	654	436	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee	def	0.8	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	def	0.9	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	def	1.0	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee	def	1.5	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee	def	2.0	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	def	def	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_oblique	8	def	VALID	0	2	0	1	228	678	452	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	10	def	VALID	0	2	0	1	206	612	408	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	12	def	VALID	0	2	0	1	251	747	498	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_oblique	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	16	def	VALID	0	2	0	1	316	942	628	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	19	def	VALID	0	2	0	1	738	2208	1472	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	24	def	VALID	0	2	0	1	652	1950	1300	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_oblique	26	def	VALID	0	2	0	1	784	2346	1564	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	32	def	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	48	def	VALID	0	2	0	1	1948	5838	3892	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	64	def	VALID	0	2	0	1	3366	10092	6728	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	def	0.2	VALID	0	2	0	1	548	1638	1092	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_oblique	def	0.3	VALID	0	2	0	1	372	1110	740	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	def	0.5	VALID	0	2	0	1	214	636	424	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	def	0.8	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_oblique	def	0.9	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	def	1.0	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_oblique	def	1.5	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_oblique	def	2.0	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	def	def	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	8	def	VALID	0	2	0	1	228	678	452	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_small	10	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	12	def	VALID	0	2	0	1	260	774	516	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_small	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	19	def	VALID	0	2	0	1	676	2022	1348	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	24	def	VALID	0	2	0	1	640	1914	1276	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_small	26	def	VALID	0	2	0	1	784	2346	1564	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	32	def	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	48	def	VALID	0	2	0	1	1950	5844	3896	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	64	def	VALID	0	2	0	1	3366	10092	6728	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	def	0.2	VALID	0	2	0	1	368	1098	732	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_small	def	0.3	VALID	0	2	0	1	254	756	504	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	def	0.5	VALID	0	2	0	1	152	450	300	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_small	def	0.8	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_small	def	0.9	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	def	1.0	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_small	def	1.5	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_small	def	2.0	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	dfb85441	0	-	1
tee_large	def	def	VALID	0	2	0	1	464	1386	924	0	1e-6	3	1	yes	3	dfb85441	0	-	1
tee_large	8	def	VALID	0	2	0	1	300	894	596	0	1e-6	3	1	yes	4	dfb85441	0	-	1
